مــــ,الجامعة,اسم الجامعة,نوع البند,تصنيف البند,العام الدراسي,قيمة البند,العملة
203,المنارة,جامعة المنارة,مصروفات,ضرائب,العام الدراسي 24 - 25,متضمنة ضمن تكلفة الرواتب والأجور,SYP
204,المنارة,جامعة المنارة,مصروفات,ضرائب,العام الدراسي 25 - 26,متضمنة ضمن تكلفة الرواتب والأجور,SYP
205,المنارة,جامعة المنارة,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,غير معبأة,USD
206,المنارة,جامعة المنارة,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,غير معبأة,USD
207,المنارة,جامعة المنارة,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,غير معبأة,USD
208,المنارة,جامعة المنارة,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,غير معبأة,USD
209,المنارة,جامعة المنارة,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,غير معبأة,USD
210,المنارة,جامعة المنارة,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,غير معبأة,USD
211,المنارة,جامعة المنارة,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,غير معبأة,USD
212,المنارة,جامعة المنارة,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,غير معبأة,USD
213,المنارة,جامعة المنارة,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,غير معبأة,USD
214,المنارة,جامعة المنارة,مصروفات,ضرائب,العام الدراسي 23 - 24,غير معبأة,USD
215,المنارة,جامعة المنارة,مصروفات,ضرائب,العام الدراسي 24 - 25,غير معبأة,USD
216,المنارة,جامعة المنارة,مصروفات,ضرائب,العام الدراسي 25 - 26,غير معبأة,USD
217,المنارة,جامعة المنارة,إيرادات,الأقساط,العام الدراسي 23 - 24,22٬064٬922٬665٫00,SYP
218,المنارة,جامعة المنارة,إيرادات,الأقساط,العام الدراسي 24 - 25,33٬389٬811٬677٫00,SYP
219,المنارة,جامعة المنارة,إيرادات,الأقساط,العام الدراسي 25 - 26,39٬084٬047٬206٫00,SYP
220,المنارة,جامعة المنارة,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,483٬812٬917٫00,SYP
221,المنارة,جامعة المنارة,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,517٬078٬751٫00,SYP
222,المنارة,جامعة المنارة,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,634٬068٬500٫00,SYP
223,المنارة,جامعة المنارة,إيرادات,النقل,العام الدراسي 23 - 24,غير معبأة,SYP
224,المنارة,جامعة المنارة,إيرادات,النقل,العام الدراسي 24 - 25,غير معبأة,SYP
225,المنارة,جامعة المنارة,إيرادات,النقل,العام الدراسي 25 - 26,غير معبأة,SYP
226,المنارة,جامعة المنارة,إيرادات,أخرى,العام الدراسي 23 - 24,389٬375٬572٫00,SYP
227,المنارة,جامعة المنارة,إيرادات,أخرى,العام الدراسي 24 - 25,238٬328٬957٫00,SYP
228,المنارة,جامعة المنارة,إيرادات,أخرى,العام الدراسي 25 - 26,221٬939٬506٫00,SYP
229,المنارة,جامعة المنارة,إيرادات,الأقساط,العام الدراسي 23 - 24,غير معبأة,USD
230,المنارة,جامعة المنارة,إيرادات,الأقساط,العام الدراسي 24 - 25,غير معبأة,USD
231,المنارة,جامعة المنارة,إيرادات,الأقساط,العام الدراسي 25 - 26,غير معبأة,USD
232,المنارة,جامعة المنارة,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,غير معبأة,USD
233,المنارة,جامعة المنارة,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,غير معبأة,USD
234,المنارة,جامعة المنارة,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,غير معبأة,USD
235,المنارة,جامعة المنارة,إيرادات,النقل,العام الدراسي 23 - 24,غير معبأة,USD
236,المنارة,جامعة المنارة,إيرادات,النقل,العام الدراسي 24 - 25,غير معبأة,USD
237,المنارة,جامعة المنارة,إيرادات,النقل,العام الدراسي 25 - 26,غير معبأة,USD
238,المنارة,جامعة المنارة,إيرادات,أخرى,العام الدراسي 23 - 24,غير معبأة,USD
239,المنارة,جامعة المنارة,إيرادات,أخرى,العام الدراسي 24 - 25,غير معبأة,USD
240,المنارة,جامعة المنارة,إيرادات,أخرى,العام الدراسي 25 - 26,غير معبأة,USD
241,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,0٫00,SYP
242,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,0٫00,SYP
243,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,0٫00,SYP
244,السورية,الجامعة السورية الخاصة,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,26٬946٬604٬490٫00,SYP
245,السورية,الجامعة السورية الخاصة,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,36٬973٬255٬426٫28,SYP
246,السورية,الجامعة السورية الخاصة,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,43٬455٬101٬277٫00,SYP
247,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,22٬165٬607٬060٫33,SYP
248,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,24٬786٬958٬272٫59,SYP
249,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,18٬305٬112٬421٫87,SYP
250,السورية,الجامعة السورية الخاصة,مصروفات,ضرائب,العام الدراسي 23 - 24,9٬934٬241٬100٫00,SYP
251,السورية,الجامعة السورية الخاصة,مصروفات,ضرائب,العام الدراسي 24 - 25,10٬957٬009٬642٫25,SYP
252,السورية,الجامعة السورية الخاصة,مصروفات,ضرائب,العام الدراسي 25 - 26,14٬976٬370٬000٫00,SYP
253,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,0٫00,USD
254,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,0٫00,USD
255,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,0٫00,USD
256,السورية,الجامعة السورية الخاصة,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,0٫00,USD
257,السورية,الجامعة السورية الخاصة,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,0٫00,USD
258,السورية,الجامعة السورية الخاصة,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,0٫00,USD
259,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,0٫00,USD
260,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,0٫00,USD
261,السورية,الجامعة السورية الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,0٫00,USD
262,السورية,الجامعة السورية الخاصة,مصروفات,ضرائب,العام الدراسي 23 - 24,0٫00,USD
263,السورية,الجامعة السورية الخاصة,مصروفات,ضرائب,العام الدراسي 24 - 25,0٫00,USD
264,السورية,الجامعة السورية الخاصة,مصروفات,ضرائب,العام الدراسي 25 - 26,0٫00,USD
265,السورية,الجامعة السورية الخاصة,إيرادات,الأقساط,العام الدراسي 23 - 24,82٬027٬835٬076٫00,SYP
266,السورية,الجامعة السورية الخاصة,إيرادات,الأقساط,العام الدراسي 24 - 25,103٬616٬883٬110٫00,SYP
267,السورية,الجامعة السورية الخاصة,إيرادات,الأقساط,العام الدراسي 25 - 26,117٬453٬007٬300٫00,SYP
268,السورية,الجامعة السورية الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,0٫00,SYP
269,السورية,الجامعة السورية الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,0٫00,SYP
270,السورية,الجامعة السورية الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,0٫00,SYP
271,السورية,الجامعة السورية الخاصة,إيرادات,النقل,العام الدراسي 23 - 24,0٫00,SYP
272,السورية,الجامعة السورية الخاصة,إيرادات,النقل,العام الدراسي 24 - 25,0٫00,SYP
273,السورية,الجامعة السورية الخاصة,إيرادات,النقل,العام الدراسي 25 - 26,0٫00,SYP
274,السورية,الجامعة السورية الخاصة,إيرادات,أخرى,العام الدراسي 23 - 24,3٬272٬717٬526٫14,SYP
275,السورية,الجامعة السورية الخاصة,إيرادات,أخرى,العام الدراسي 24 - 25,4٬708٬136٬889٫83,SYP
276,السورية,الجامعة السورية الخاصة,إيرادات,أخرى,العام الدراسي 25 - 26,5٬971٬305٬987٫00,SYP
277,السورية,الجامعة السورية الخاصة,إيرادات,الأقساط,العام الدراسي 23 - 24,0٫00,USD
278,السورية,الجامعة السورية الخاصة,إيرادات,الأقساط,العام الدراسي 24 - 25,0٫00,USD
279,السورية,الجامعة السورية الخاصة,إيرادات,الأقساط,العام الدراسي 25 - 26,0٫00,USD
280,السورية,الجامعة السورية الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,0٫00,USD
281,السورية,الجامعة السورية الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,0٫00,USD
282,السورية,الجامعة السورية الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,0٫00,USD
283,السورية,الجامعة السورية الخاصة,إيرادات,النقل,العام الدراسي 23 - 24,0٫00,USD
284,السورية,الجامعة السورية الخاصة,إيرادات,النقل,العام الدراسي 24 - 25,0٫00,USD
285,السورية,الجامعة السورية الخاصة,إيرادات,النقل,العام الدراسي 25 - 26,0٫00,USD
286,السورية,الجامعة السورية الخاصة,إيرادات,أخرى,العام الدراسي 23 - 24,0٫00,USD
287,السورية,الجامعة السورية الخاصة,إيرادات,أخرى,العام الدراسي 24 - 25,0٫00,USD
288,السورية,الجامعة السورية الخاصة,إيرادات,أخرى,العام الدراسي 25 - 26,0٫00,USD
289,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,0٫00,SYP
290,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,40٬981٬618٫00,SYP
291,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,0٫00,SYP
292,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,69٬032٬872٫17,SYP
293,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,217٬767٬115٫50,SYP
294,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,161٬373٬320٫10,SYP
295,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,217٬417٬429٫20,SYP
296,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,202٬151٬475٫30,SYP
297,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,55٬448٬441٫14,SYP
298,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 23 - 24,0٫00,SYP
299,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 24 - 25,0٫00,SYP
300,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 25 - 26,3٬500٬000٫00,SYP
301,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,0٫00,USD
302,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,0٫00,USD
303,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,0٫00,USD
304,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,0٫00,USD
305,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,0٫00,USD
306,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,0٫00,USD
307,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,0٫00,USD
308,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,0٫00,USD
309,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,0٫00,USD
310,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 23 - 24,0٫00,USD
311,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 24 - 25,0٫00,USD
312,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 25 - 26,0٫00,USD
313,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 23 - 24,410٬267٬025٫40,SYP
314,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 24 - 25,767٬110٬918٫00,SYP
315,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 25 - 26,418٬181٬855٫50,SYP
316,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,0٫00,SYP
317,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,360٬000٫00,SYP
318,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,0٫00,SYP
319,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 23 - 24,0٫00,SYP
320,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 24 - 25,0٫00,SYP
321,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 25 - 26,0٫00,SYP
322,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 23 - 24,13٬474٬190٫70,SYP
323,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 24 - 25,0٫00,SYP
324,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 25 - 26,294٬110٫00,SYP
325,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 23 - 24,0٫00,USD
326,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 24 - 25,0٫00,USD
327,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 25 - 26,0٫00,USD
328,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,0٫00,USD
329,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,0٫00,USD
330,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,0٫00,USD
331,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 23 - 24,0٫00,USD
332,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 24 - 25,0٫00,USD
333,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 25 - 26,0٫00,USD
334,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 23 - 24,0٫00,USD
335,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 24 - 25,0٫00,USD
336,الرشيد,جامعة الرشيد الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 25 - 26,0٫00,USD
