مــــ,الجامعة,اسم الجامعة,نوع البند,تصنيف البند,العام الدراسي,قيمة البند,العملة
46,القلمون,جامعة القلمون الخاصة,إيرادات,أخرى,العام الدراسي 23 - 24,0٫00,USD
47,القلمون,جامعة القلمون الخاصة,إيرادات,أخرى,العام الدراسي 24 - 25,0٫00,USD
48,القلمون,جامعة القلمون الخاصة,إيرادات,أخرى,العام الدراسي 25 - 26,108٬266٫00,USD
49,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,غير معبأة,SYP
50,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,غير معبأة,SYP
51,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,غير معبأة,SYP
52,الشمال,جامعة الشمال الخاصة,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,غير معبأة,SYP
53,الشمال,جامعة الشمال الخاصة,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,غير معبأة,SYP
54,الشمال,جامعة الشمال الخاصة,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,غير معبأة,SYP
55,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,غير معبأة,SYP
56,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,غير معبأة,SYP
57,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,غير معبأة,SYP
58,الشمال,جامعة الشمال الخاصة,مصروفات,ضرائب,العام الدراسي 23 - 24,غير معبأة,SYP
59,الشمال,جامعة الشمال الخاصة,مصروفات,ضرائب,العام الدراسي 24 - 25,غير معبأة,SYP
60,الشمال,جامعة الشمال الخاصة,مصروفات,ضرائب,العام الدراسي 25 - 26,غير معبأة,SYP
61,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,"42,287.39",USD
62,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,غير معبأة,USD
63,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,غير معبأة,USD
64,الشمال,جامعة الشمال الخاصة,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,564٫00,USD
65,الشمال,جامعة الشمال الخاصة,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,غير معبأة,USD
66,الشمال,جامعة الشمال الخاصة,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,غير معبأة,USD
67,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,"100,216.93",USD
68,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,غير معبأة,USD
69,الشمال,جامعة الشمال الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,غير معبأة,USD
70,الشمال,جامعة الشمال الخاصة,مصروفات,ضرائب,العام الدراسي 23 - 24,"244,089",USD
71,الشمال,جامعة الشمال الخاصة,مصروفات,ضرائب,العام الدراسي 24 - 25,غير معبأة,USD
72,الشمال,جامعة الشمال الخاصة,مصروفات,ضرائب,العام الدراسي 25 - 26,غير معبأة,USD
73,الشمال,جامعة الشمال الخاصة,إيرادات,الأقساط,العام الدراسي 23 - 24,غير معبأة,SYP
74,الشمال,جامعة الشمال الخاصة,إيرادات,الأقساط,العام الدراسي 24 - 25,غير معبأة,SYP
75,الشمال,جامعة الشمال الخاصة,إيرادات,الأقساط,العام الدراسي 25 - 26,غير معبأة,SYP
76,الشمال,جامعة الشمال الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,9٬295٫00,SYP
